bar,ideal_lo_hz,ideal_hi_hz,native_fft_size,native_bin_lo,native_bin_hi,native_eff_lo_hz,native_eff_hi_hz,cava_ref_fft_size,cava_ref_bin_lo,cava_ref_bin_hi,cava_ref_eff_lo_hz,cava_ref_eff_hi_hz,note
0,50.0,60.022,2048,2,3,43.0664,43.0664,1024,1,2,43.0664,43.0664,cava_ref: unvalidated assignment
1,60.022,72.0528,2048,3,4,64.5996,64.5996,1024,1,2,43.0664,43.0664,cava_ref: unvalidated assignment
2,72.0528,86.495,2048,3,4,64.5996,64.5996,1024,1,3,43.0664,86.1328,cava_ref: unvalidated assignment
3,86.495,103.8321,2048,4,5,86.1328,86.1328,1024,2,3,86.1328,86.1328,cava_ref: unvalidated assignment
4,103.8321,124.6441,2048,5,6,107.666,107.666,1024,2,3,86.1328,86.1328,cava_ref: unvalidated assignment
5,124.6441,149.6278,2048,6,7,129.1992,129.1992,1024,2,4,86.1328,129.1992,cava_ref: unvalidated assignment
6,149.6278,179.6191,2048,7,8,150.7324,150.7324,1024,3,5,129.1992,172.2656,cava_ref: unvalidated assignment
7,179.6191,215.622,2048,8,10,172.2656,193.7988,1024,4,6,172.2656,215.332,cava_ref: unvalidated assignment
8,215.622,258.8412,2048,10,12,215.332,236.8652,1024,5,7,215.332,258.3984,cava_ref: unvalidated assignment
9,258.8412,310.7233,2048,12,14,258.3984,279.9316,1024,6,8,258.3984,301.4648,cava_ref: unvalidated assignment
10,310.7233,373.0045,2048,14,17,301.4648,344.5312,1024,7,9,301.4648,344.5312,cava_ref: unvalidated assignment
11,373.0045,447.7695,2048,17,21,366.0645,430.6641,1024,8,11,344.5312,430.6641,cava_ref: unvalidated assignment
12,447.7695,537.5203,2048,21,25,452.1973,516.7969,1024,10,13,430.6641,516.7969,cava_ref: unvalidated assignment
13,537.5203,645.2608,2048,25,30,538.3301,624.4629,1024,12,15,516.7969,602.9297,cava_ref: unvalidated assignment
14,645.2608,774.5967,2048,30,36,645.9961,753.6621,1024,14,18,602.9297,732.1289,cava_ref: unvalidated assignment
15,774.5967,929.8566,2048,36,43,775.1953,904.3945,1024,17,22,732.1289,904.3945,cava_ref: unvalidated assignment
16,929.8566,1116.2369,2048,43,52,925.9277,1098.1934,1024,21,26,904.3945,1076.6602,cava_ref: unvalidated assignment
17,1116.2369,1339.9752,2048,52,62,1119.7266,1313.5254,1024,25,32,1076.6602,1335.0586,cava_ref: unvalidated assignment
18,1339.9752,1608.5595,2048,62,75,1335.0586,1593.457,1024,31,38,1335.0586,1593.457,cava_ref: unvalidated assignment
19,1608.5595,1930.9788,2048,75,90,1614.9902,1916.4551,1024,37,45,1593.457,1894.9219,cava_ref: unvalidated assignment
20,1930.9788,2318.0237,2048,90,108,1937.9883,2304.0527,1024,44,54,1894.9219,2282.5195,cava_ref: unvalidated assignment
21,2318.0237,2782.6478,2048,108,129,2325.5859,2756.25,1024,53,65,2282.5195,2756.25,cava_ref: unvalidated assignment
22,2782.6478,3340.4011,2048,129,155,2777.7832,3316.1133,1024,64,78,2756.25,3316.1133,cava_ref: unvalidated assignment
23,3340.4011,4009.9504,2048,155,186,3337.6465,3983.6426,1024,77,94,3316.1133,4005.1758,cava_ref: unvalidated assignment
24,4009.9504,4813.7039,2048,186,224,4005.1758,4801.9043,1024,93,112,4005.1758,4780.3711,cava_ref: unvalidated assignment
25,4813.7039,5778.5616,2048,224,268,4823.4375,5749.3652,1024,111,135,4780.3711,5770.8984,cava_ref: unvalidated assignment
26,5778.5616,6936.8152,2048,268,322,5770.8984,6912.1582,1024,134,162,5770.8984,6933.6914,cava_ref: unvalidated assignment
27,6936.8152,8327.2288,2048,322,387,6933.6914,8311.8164,1024,161,194,6933.6914,8311.8164,cava_ref: unvalidated assignment
28,8327.2288,9996.3366,2048,387,464,8333.3496,9969.873,1024,193,233,8311.8164,9991.4062,cava_ref: unvalidated assignment
29,9996.3366,12000.0,2048,464,557,9991.4062,11972.4609,1024,232,279,9991.4062,11972.4609,cava_ref: unvalidated assignment
