timestamp_s,relative_exertion,mix,ep_target_weight,sustained_energy
0.000,0.1197,0.0000,0.0000,0.0024
0.050,0.0685,0.0000,0.0000,0.0000
0.101,0.0652,0.0000,0.0000,0.0000
0.151,0.0531,0.0000,0.0000,0.0680
0.201,0.0246,0.0000,0.0000,0.1661
0.251,0.0553,0.0000,0.0000,0.2460
0.301,0.0961,0.0000,0.0000,0.2452
0.354,0.1237,0.0000,0.0000,0.1888
0.404,0.1295,0.0000,0.0000,0.1178
0.454,0.1404,0.0000,0.0000,0.0371
0.504,0.1239,0.0000,0.0000,0.0000
0.555,0.0834,0.0000,0.0000,0.0000
0.608,0.1140,0.0000,0.0000,0.1555
0.658,0.2778,0.0000,0.0000,0.2223
0.708,0.3401,0.0000,0.0000,0.2583
0.758,0.3022,0.0000,0.0000,0.2485
0.809,0.3269,0.0000,0.0000,0.2086
0.859,0.3516,0.0000,0.0000,0.1409
0.909,0.1718,0.0000,0.0000,0.0000
0.959,0.1180,0.0000,0.0000,0.0000
1.009,0.0882,0.0000,0.0000,0.0000
1.060,0.0749,0.0000,0.0000,0.1236
1.110,0.0646,0.0000,0.0000,0.1922
1.161,0.0596,0.0000,0.0000,0.2438
1.211,0.0778,0.0000,0.0000,0.2321
1.262,0.0796,0.0000,0.0000,0.1941
1.312,0.0661,0.0000,0.0000,0.0485
1.362,0.0888,0.0000,0.0000,0.0000
1.414,0.1387,0.0000,0.0000,0.0000
1.464,0.0882,0.0000,0.0000,0.0000
1.515,0.0622,0.0000,0.0000,0.1339
1.565,0.2901,0.0000,0.0000,0.2575
1.615,0.4441,0.0000,0.0000,0.2683
1.665,0.3490,0.0000,0.0000,0.2593
1.717,0.3165,0.0000,0.0000,0.1710
1.767,0.3324,0.0000,0.0000,0.0942
1.817,0.1868,0.0000,0.0000,0.0000
1.867,0.1214,0.0000,0.0000,0.0000
1.917,0.0684,0.0000,0.0000,0.0000
1.968,0.3590,0.0000,0.0000,0.1788
2.018,0.3693,0.0000,0.0000,0.2383
2.068,0.3237,0.0000,0.0000,0.2668
2.118,0.3227,0.0000,0.0000,0.2624
2.168,0.3190,0.0000,0.0000,0.2218
2.218,0.1461,0.0000,0.0000,0.0684
2.269,0.1127,0.0000,0.0000,0.0000
2.319,0.1068,0.0000,0.0000,0.0000
2.369,0.0996,0.0000,0.0000,0.0579
2.419,0.0711,0.0000,0.0000,0.1776
2.469,0.0528,0.0000,0.0000,0.2390
2.520,0.1473,0.0000,0.0000,0.2739
2.570,0.1665,0.0000,0.0000,0.2441
2.621,0.1710,0.0000,0.0000,0.1945
2.671,0.1927,0.0000,0.0000,0.0467
2.721,0.1839,0.0000,0.0000,0.0000
2.773,0.1010,0.0000,0.0000,0.0000
2.823,0.0782,0.0000,0.0000,0.0896
2.873,0.2418,0.0000,0.0000,0.1985
2.923,0.2884,0.0000,0.0000,0.2827
2.973,0.1945,0.0000,0.0000,0.2891
3.023,0.1633,0.0000,0.0000,0.2808
3.073,0.3288,0.0000,0.0000,0.1778
3.123,0.2460,0.0000,0.0000,0.0933
3.173,0.1966,0.0000,0.0000,0.0101
3.223,0.1512,0.0000,0.0000,0.0000
3.274,0.1393,0.0000,0.0000,0.0932
3.328,0.1085,0.0000,0.0000,0.2068
3.374,0.0000,0.0000,0.0000,0.3007
3.424,0.1136,0.0000,0.0003,0.3041
3.474,0.1703,0.0000,0.0000,0.2468
3.525,0.1694,0.0000,0.0000,0.1848
3.575,0.1678,0.0000,0.0000,0.1036
3.625,0.1987,0.0000,0.0000,0.0000
3.675,0.1604,0.0000,0.0000,0.0000
3.725,0.1106,0.0000,0.0000,0.0000
3.775,0.1241,0.0000,0.0000,0.2057
3.825,0.3231,0.0000,0.0000,0.2587
3.878,0.3433,0.0000,0.0000,0.2562
3.928,0.3218,0.0000,0.0000,0.2522
3.978,0.3230,0.0000,0.0000,0.1918
4.028,0.2544,0.0000,0.0000,0.0410
4.078,0.1860,0.0000,0.0000,0.0000
4.128,0.1490,0.0000,0.0000,0.0000
4.178,0.6395,0.0000,0.0000,0.1374
4.228,0.3499,0.0000,0.0000,0.2213
4.278,0.3080,0.0000,0.0000,0.2675
4.328,0.2871,0.0000,0.0000,0.2732
4.378,0.2895,0.0000,0.0000,0.2420
4.428,0.1839,0.0000,0.0000,0.1133
4.478,0.1324,0.0000,0.0000,0.0377
4.529,0.1174,0.0000,0.0000,0.0000
4.579,0.1170,0.0000,0.0000,0.0000
4.629,0.0808,0.0000,0.0000,0.1045
4.679,0.0588,0.0000,0.0000,0.2046
4.729,0.1069,0.0000,0.0000,0.2826
4.780,0.1460,0.0000,0.0000,0.2819
4.833,0.1427,0.0000,0.0000,0.2447
4.883,0.1480,0.0000,0.0000,0.1792
4.933,0.1833,0.0000,0.0000,0.1095
4.983,0.1512,0.0000,0.0000,0.0000
5.034,0.1124,0.0000,0.0000,0.0000
5.088,0.1003,0.0000,0.0000,0.1237
5.135,0.3306,0.0000,0.0000,0.2771
5.185,0.3076,0.0001,0.0021,0.3106
5.235,0.2525,0.0002,0.0003,0.3038
5.285,0.2642,0.0002,0.0000,0.2630
5.335,0.2692,0.0002,0.0000,0.1989
5.386,0.1608,0.0002,0.0000,0.0475
5.436,0.1378,0.0001,0.0000,0.0000
5.486,0.1282,0.0001,0.0000,0.0000
5.536,0.0942,0.0001,0.0000,0.1724
5.586,0.0665,0.0001,0.0000,0.1399
5.639,0.0625,0.0001,0.0000,0.0516
5.689,0.0681,0.0001,0.0000,0.0060
5.739,0.0582,0.0001,0.0000,0.0000
5.790,0.0518,0.0001,0.0000,0.0000
5.840,0.0767,0.0001,0.0000,0.0000
5.894,0.1111,0.0001,0.0000,0.0000
5.940,0.1272,0.0001,0.0000,0.0000
5.991,0.1268,0.0001,0.0000,0.0000
6.043,0.1988,0.0001,0.0000,0.0000
6.094,0.2007,0.0001,0.0000,0.0000
6.145,0.2012,0.0001,0.0000,0.0000
6.196,0.2157,0.0001,0.0000,0.0000
6.247,0.2356,0.0001,0.0000,0.0000
6.303,0.2149,0.0001,0.0000,0.0000
6.348,0.1303,0.0001,0.0000,0.0000
6.398,0.3247,0.0001,0.0000,0.0000
6.452,0.4848,0.0001,0.0000,0.0000
6.498,0.3068,0.0001,0.0000,0.0000
6.548,0.2933,0.0001,0.0000,0.0000
6.601,0.2773,0.0001,0.0000,0.0000
6.652,0.2218,0.0001,0.0000,0.0000
6.702,0.1107,0.0001,0.0000,0.0000
6.752,0.0576,0.0000,0.0000,0.0000
6.802,0.0516,0.0000,0.0000,0.0000
6.852,0.0464,0.0000,0.0000,0.0000
6.902,0.0312,0.0000,0.0000,0.0000
6.952,0.0995,0.0000,0.0000,0.0000
7.002,0.1422,0.0000,0.0000,0.0000
7.052,0.1590,0.0000,0.0000,0.0000
7.104,0.1545,0.0000,0.0000,0.0000
7.154,0.1718,0.0000,0.0000,0.0000
7.204,0.1250,0.0000,0.0000,0.0000
7.254,0.0850,0.0000,0.0000,0.0000
7.304,0.0507,0.0000,0.0000,0.0000
7.354,0.2818,0.0000,0.0000,0.0000
7.404,0.2576,0.0000,0.0000,0.0000
7.459,0.2510,0.0000,0.0000,0.0000
7.505,0.2634,0.0000,0.0000,0.0000
7.555,0.2482,0.0000,0.0000,0.0000
7.609,0.1746,0.0000,0.0000,0.0000
7.659,0.1556,0.0000,0.0000,0.0000
7.709,0.1610,0.0000,0.0000,0.0000
7.760,0.1273,0.0000,0.0000,0.0000
7.810,0.0825,0.0000,0.0000,0.0000
7.860,0.0684,0.0000,0.0000,0.0000
7.910,0.0983,0.0000,0.0000,0.0000
7.960,0.0946,0.0000,0.0000,0.0000
8.010,0.0923,0.0000,0.0000,0.0000
8.060,0.1054,0.0000,0.0000,0.0000
8.110,0.1297,0.0000,0.0000,0.0000
8.160,0.1301,0.0000,0.0000,0.0000
8.210,0.1204,0.0000,0.0000,0.0000
8.260,0.1920,0.0000,0.0000,0.0000
8.313,0.2624,0.0000,0.0000,0.0000
8.363,0.2508,0.0000,0.0000,0.0000
8.413,0.2424,0.0000,0.0000,0.0000
8.463,0.2613,0.0000,0.0000,0.0000
8.513,0.1939,0.0000,0.0000,0.0000
8.563,0.1583,0.0000,0.0000,0.0000
8.614,0.5444,0.0000,0.0000,0.0000
8.663,0.3179,0.0000,0.0000,0.0000
8.713,0.2677,0.0000,0.0000,0.0000
8.764,0.2327,0.0000,0.0000,0.0000
8.814,0.2237,0.0000,0.0000,0.0000
8.864,0.1818,0.0000,0.0000,0.0000
8.914,0.0834,0.0000,0.0000,0.0000
8.965,0.0671,0.0000,0.0000,0.0000
9.017,0.0698,0.0000,0.0000,0.0000
9.067,0.0571,0.0000,0.0000,0.0000
9.118,0.0486,0.0000,0.0000,0.0000
9.169,0.0714,0.0000,0.0000,0.0000
9.219,0.1098,0.0000,0.0000,0.0000
9.269,0.1207,0.0000,0.0000,0.0000
9.320,0.1101,0.0000,0.0000,0.0000
9.370,0.1311,0.0000,0.0000,0.0000
9.421,0.1647,0.0000,0.0000,0.0000
9.471,0.1169,0.0000,0.0000,0.0000
9.522,0.0990,0.0000,0.0000,0.0000
9.574,0.5190,0.0000,0.0000,0.0000
9.624,0.3762,0.0000,0.0000,0.0000
9.675,0.3230,0.0000,0.0000,0.0000
9.725,0.2877,0.0000,0.0000,0.0000
9.775,0.2328,0.0000,0.0000,0.0000
9.825,0.1740,0.0000,0.0000,0.0000
9.876,0.0825,0.0000,0.0000,0.0000
9.926,0.0689,0.0000,0.0000,0.0000
9.977,0.0492,0.0000,0.0000,0.0000
10.027,0.0447,0.0000,0.0000,0.0000
10.076,0.0435,0.0000,0.0000,0.0000
10.127,0.0625,0.0000,0.0000,0.0000
10.177,0.0605,0.0000,0.0000,0.0000
10.228,0.0549,0.0000,0.0000,0.0000
10.278,0.0593,0.0000,0.0000,0.0000
10.329,0.0634,0.0000,0.0000,0.0000
10.379,0.0507,0.0000,0.0000,0.0000
10.429,0.0433,0.0000,0.0000,0.0000
10.479,0.1732,0.0000,0.0000,0.0000
10.529,0.2242,0.0000,0.0000,0.0000
10.580,0.2315,0.0000,0.0000,0.0000
10.630,0.2081,0.0000,0.0000,0.0000
10.680,0.2392,0.0000,0.0000,0.0000
10.730,0.2163,0.0000,0.0000,0.0000
10.781,0.1237,0.0000,0.0000,0.0000
10.831,0.1044,0.0000,0.0000,0.0000
10.882,0.0956,0.0000,0.0000,0.0000
10.932,0.0651,0.0000,0.0000,0.0000
10.982,0.0544,0.0000,0.0000,0.0000
11.036,0.0676,0.0000,0.0000,0.0000
11.086,0.0851,0.0000,0.0000,0.0000
11.136,0.0805,0.0000,0.0000,0.0000
11.188,0.1090,0.0000,0.0000,0.0000
11.238,0.1567,0.0000,0.0000,0.0000
11.288,0.1576,0.0000,0.0000,0.0000
11.340,0.1450,0.0000,0.0000,0.0000
11.390,0.1724,0.0000,0.0000,0.0000
11.441,0.2546,0.0000,0.0000,0.0000
11.492,0.2434,0.0000,0.0000,0.0000
11.542,0.2307,0.0000,0.0000,0.0000
11.593,0.2898,0.0000,0.0000,0.0000
11.644,0.2737,0.0000,0.0000,0.0000
11.695,0.2081,0.0000,0.0000,0.0000
11.745,0.3894,0.0000,0.0000,0.0000
11.795,0.5414,0.0000,0.0000,0.0000
11.849,0.3952,0.0043,0.0000,0.0000
11.896,0.3033,0.0040,0.0000,0.0000
11.946,0.2805,0.0039,0.0000,0.0000
12.001,0.2498,0.0037,0.0000,0.0000
12.051,0.1860,0.0036,0.0000,0.0000
12.101,0.1403,0.0035,0.0000,0.0000
12.151,0.1251,0.0033,0.0000,0.0000
12.201,0.1230,0.0032,0.0000,0.0000
12.252,0.1171,0.0031,0.0000,0.0822
12.302,0.1148,0.0029,0.0000,0.0309
12.352,0.1464,0.0028,0.0000,0.0000
12.402,0.1455,0.0027,0.0000,0.0000
12.453,0.1378,0.0026,0.0000,0.0000
12.503,0.1386,0.0025,0.0000,0.0000
12.556,0.1442,0.0023,0.0000,0.0000
12.606,0.1217,0.0023,0.0000,0.0000
12.656,0.1003,0.0022,0.0000,0.0000
12.706,0.1452,0.0021,0.0000,0.0289
12.756,0.1821,0.0020,0.0000,0.0000
12.807,0.1614,0.0019,0.0000,0.0000
12.857,0.1188,0.0018,0.0000,0.0000
12.907,0.2263,0.0018,0.0000,0.0000
12.958,0.2285,0.0017,0.0000,0.0000
13.008,0.1837,0.0016,0.0000,0.0000
13.058,0.1733,0.0016,0.0000,0.0000
13.108,0.1756,0.0015,0.0000,0.0000
13.158,0.1250,0.0014,0.0000,0.0105
13.208,0.1157,0.0014,0.0000,0.0000
13.259,0.1210,0.0013,0.0000,0.0000
13.309,0.1248,0.0013,0.0000,0.0000
13.359,0.1173,0.0012,0.0000,0.0000
13.409,0.1205,0.0012,0.0000,0.0000
13.459,0.2315,0.0011,0.0000,0.0000
13.509,0.2434,0.0011,0.0000,0.0000
13.560,0.2256,0.0010,0.0000,0.0000
13.610,0.2225,0.0010,0.0000,0.0000
13.664,0.2541,0.0009,0.0000,0.0000
13.714,0.1856,0.0009,0.0000,0.0000
13.764,0.1499,0.0009,0.0000,0.0000
13.814,0.1458,0.0008,0.0000,0.0000
13.864,0.1712,0.0008,0.0000,0.0000
13.914,0.1535,0.0008,0.0000,0.0000
13.964,0.1033,0.0007,0.0000,0.0000
14.015,0.6140,0.0007,0.0000,0.0000
14.069,0.5065,0.0007,0.0000,0.0000
14.115,0.3213,0.0006,0.0000,0.0000
14.165,0.2922,0.0006,0.0000,0.0000
14.216,0.2869,0.0006,0.0000,0.0000
14.265,0.2129,0.0006,0.0000,0.0000
14.316,0.1413,0.0006,0.0000,0.0000
14.366,0.0718,0.0005,0.0000,0.0000
14.416,0.0546,0.0005,0.0000,0.0000
14.466,0.0456,0.0005,0.0000,0.0000
14.517,0.0310,0.0005,0.0000,0.0000
14.567,0.0383,0.0005,0.0000,0.0000
14.617,0.0583,0.0004,0.0000,0.0000
14.667,0.0625,0.0004,0.0000,0.0000
14.718,0.0650,0.0004,0.0000,0.0000
14.770,0.1003,0.0004,0.0000,0.0000
14.820,0.0957,0.0004,0.0000,0.0000
14.871,0.0799,0.0004,0.0000,0.0000
14.921,0.0705,0.0003,0.0000,0.0017
14.971,0.3980,0.0003,0.0000,0.0000
15.022,0.2797,0.0003,0.0000,0.0000
15.072,0.2558,0.0003,0.0000,0.0000
15.122,0.2698,0.0003,0.0000,0.0000
15.172,0.2627,0.0003,0.0000,0.0000
15.222,0.2037,0.0003,0.0000,0.0000
15.272,0.1499,0.0003,0.0000,0.0000
15.322,0.1269,0.0002,0.0000,0.0000
15.372,0.1098,0.0002,0.0000,0.0000
15.427,0.0923,0.0002,0.0000,0.0000
15.472,0.0833,0.0002,0.0000,0.0000
15.523,0.0897,0.0002,0.0000,0.0000
15.573,0.0791,0.0002,0.0000,0.0000
15.623,0.0756,0.0002,0.0000,0.0000
15.674,0.0944,0.0002,0.0000,0.0000
15.724,0.1386,0.0002,0.0000,0.0000
15.775,0.1387,0.0002,0.0000,0.0000
15.825,0.1388,0.0002,0.0000,0.0000
15.875,0.1954,0.0002,0.0000,0.0000
15.925,0.2196,0.0001,0.0000,0.0000
15.975,0.1952,0.0001,0.0000,0.0000
16.025,0.1905,0.0001,0.0000,0.0000
16.075,0.2190,0.0001,0.0000,0.0000
16.125,0.1626,0.0001,0.0000,0.0000
16.176,0.1275,0.0001,0.0000,0.0000
16.226,0.3446,0.0001,0.0000,0.0000
16.277,0.3208,0.0001,0.0000,0.0000
16.328,0.2942,0.0001,0.0000,0.0000
16.378,0.2722,0.0001,0.0000,0.0000
16.428,0.2814,0.0001,0.0000,0.0000
16.480,0.1995,0.0001,0.0000,0.0000
16.530,0.1408,0.0001,0.0000,0.0000
16.581,0.0948,0.0001,0.0000,0.0000
16.631,0.0924,0.0001,0.0000,0.0000
16.681,0.0965,0.0001,0.0000,0.0000
16.731,0.0831,0.0001,0.0000,0.0000
16.781,0.0961,0.0001,0.0000,0.0000
16.831,0.1540,0.0001,0.0000,0.0000
16.881,0.1580,0.0001,0.0000,0.0000
16.932,0.1293,0.0001,0.0000,0.0000
16.982,0.1508,0.0001,0.0000,0.0000
17.033,0.1776,0.0001,0.0000,0.0000
17.083,0.1276,0.0001,0.0000,0.0000
17.133,0.1176,0.0001,0.0000,0.0000
17.183,0.4370,0.0001,0.0000,0.0057
17.236,0.2795,0.0000,0.0000,0.0000
17.287,0.2621,0.0000,0.0000,0.0000
17.337,0.2549,0.0000,0.0000,0.0000
17.387,0.2651,0.0000,0.0000,0.0000
17.437,0.1966,0.0000,0.0000,0.0000
17.488,0.1515,0.0000,0.0000,0.0000
17.538,0.1187,0.0000,0.0000,0.0000
17.588,0.1170,0.0000,0.0000,0.0000
17.639,0.1048,0.0000,0.0000,0.0000
17.689,0.1046,0.0000,0.0000,0.0000
17.739,0.1435,0.0000,0.0000,0.0000
17.789,0.1557,0.0000,0.0000,0.0000
17.839,0.1542,0.0000,0.0000,0.0000
17.889,0.1563,0.0000,0.0000,0.0000
17.940,0.1673,0.0000,0.0000,0.0000
17.991,0.1451,0.0000,0.0000,0.0000
18.041,0.1281,0.0000,0.0000,0.0000
18.092,0.1574,0.0000,0.0000,0.0000
18.142,0.1637,0.0000,0.0000,0.0000
18.195,0.1137,0.0000,0.0000,0.0000
18.245,0.1038,0.0000,0.0000,0.0000
18.295,0.1736,0.0000,0.0000,0.0000
18.346,0.2162,0.0000,0.0000,0.0000
18.396,0.2024,0.0000,0.0000,0.0000
18.451,0.2524,0.0000,0.0000,0.0000
18.501,0.2673,0.0000,0.0000,0.0548
