timestamp_s,relative_exertion,mix,ep_target_weight,sustained_energy
0.000,0.3090,0.0003,0.0000,0.2267
0.050,0.1501,0.0003,0.0000,0.1706
0.101,0.1064,0.0003,0.0000,0.1166
0.151,0.0618,0.0003,0.0000,0.0000
0.201,0.0499,0.0003,0.0000,0.2259
0.252,0.0396,0.0003,0.0000,0.2298
0.302,0.0654,0.0003,0.0000,0.1594
0.353,0.0746,0.0003,0.0000,0.0948
0.408,0.0716,0.0002,0.0000,0.0199
0.453,0.0443,0.0002,0.0000,0.1908
0.503,0.1295,0.0002,0.0000,0.1729
0.554,0.1579,0.0002,0.0000,0.0953
0.604,0.1434,0.0002,0.0000,0.0249
0.654,0.1352,0.0002,0.0000,0.1307
0.706,0.3607,0.0002,0.0000,0.2851
0.757,0.3199,0.0002,0.0000,0.2353
0.807,0.2992,0.0002,0.0000,0.1821
0.857,0.2565,0.0002,0.0000,0.0929
0.908,0.1569,0.0002,0.0000,0.2101
0.959,0.1044,0.0002,0.0000,0.2143
1.009,0.0463,0.0002,0.0000,0.2016
1.059,0.0946,0.0002,0.0000,0.1828
1.110,0.1175,0.0002,0.0008,0.3067
1.162,0.1180,0.0021,0.0634,0.3614
1.212,0.1167,0.0024,0.0123,0.3261
1.262,0.1590,0.0023,0.0000,0.2886
1.312,0.1527,0.0022,0.0000,0.2591
1.362,0.1366,0.0021,0.0000,0.2445
1.413,0.1580,0.0020,0.0000,0.2254
1.463,0.1648,0.0019,0.0000,0.1535
1.516,0.1344,0.0019,0.0000,0.2167
1.563,0.1014,0.0018,0.0000,0.1341
1.613,0.1371,0.0017,0.0002,0.3033
1.665,0.1542,0.0017,0.0000,0.2523
1.715,0.1482,0.0016,0.0000,0.2126
1.766,0.1464,0.0016,0.0000,0.1538
1.816,0.1489,0.0015,0.0000,0.1522
1.866,0.1073,0.0014,0.0000,0.2391
1.916,0.0864,0.0014,0.0000,0.2099
1.966,0.1230,0.0013,0.0000,0.1332
2.017,0.1303,0.0013,0.0000,0.0558
2.067,0.1229,0.0012,0.0000,0.1135
2.117,0.1030,0.0013,0.0000,0.2943
2.167,0.1729,0.0012,0.0000,0.2514
2.220,0.1455,0.0012,0.0000,0.1470
2.270,0.0990,0.0011,0.0000,0.0753
2.320,0.0958,0.0011,0.0000,0.1732
2.371,0.2318,0.0010,0.0000,0.1031
2.421,0.1954,0.0010,0.0000,0.1147
2.475,0.1454,0.0009,0.0000,0.1022
2.526,0.1656,0.0009,0.0000,0.2750
2.577,0.1672,0.0017,0.0265,0.3389
2.627,0.0966,0.0016,0.0000,0.2451
2.677,0.0699,0.0015,0.0000,0.1845
2.727,0.0790,0.0015,0.0000,0.1045
2.778,0.0754,0.0014,0.0000,0.1397
2.828,0.0603,0.0014,0.0000,0.1219
2.879,0.0528,0.0013,0.0000,0.0277
2.929,0.0661,0.0012,0.0000,0.0000
2.979,0.0769,0.0012,0.0000,0.0046
3.029,0.0848,0.0011,0.0000,0.2544
3.080,0.1732,0.0011,0.0000,0.2366
3.131,0.3247,0.0011,0.0000,0.2320
3.181,0.2652,0.0010,0.0000,0.1872
3.231,0.2644,0.0010,0.0000,0.1849
3.281,0.3204,0.0009,0.0000,0.2257
3.331,0.2754,0.0009,0.0000,0.2069
3.381,0.2230,0.0009,0.0000,0.2631
3.431,0.2014,0.0008,0.0000,0.2406
3.481,0.1990,0.0040,0.1057,0.3807
3.531,0.1822,0.0090,0.1712,0.4052
3.582,0.1675,0.0099,0.0021,0.3107
3.632,0.1711,0.0096,0.0000,0.2487
3.684,0.1454,0.0091,0.0000,0.2582
3.734,0.1106,0.0092,0.0129,0.3269
3.784,0.0971,0.0090,0.0026,0.3118
3.834,0.1846,0.0085,0.0000,0.2598
3.884,0.1877,0.0082,0.0000,0.2254
3.934,0.1824,0.0080,0.0000,0.2845
3.984,0.2254,0.0197,0.1591,0.4010
4.034,0.2898,0.0210,0.0633,0.3613
4.084,0.2597,0.0208,0.0145,0.3285
4.134,0.1858,0.0196,0.0000,0.2415
4.185,0.3184,0.0195,0.0177,0.3315
4.238,0.5035,0.0198,0.0275,0.3396
4.285,0.2940,0.0186,0.0000,0.2724
4.337,0.2699,0.0180,0.0000,0.2300
4.387,0.2557,0.0171,0.0033,0.3135
4.437,0.2029,0.0200,0.1155,0.3847
4.487,0.1448,0.0204,0.0319,0.3428
4.537,0.0869,0.0192,0.0000,0.2359
4.587,0.0843,0.0186,0.0000,0.1628
4.638,0.0592,0.0175,0.0000,0.2633
4.689,0.0452,0.0170,0.0000,0.2769
4.739,0.0443,0.0165,0.0000,0.2360
4.789,0.0685,0.0155,0.0000,0.2382
4.839,0.0685,0.0150,0.0000,0.2045
4.889,0.0607,0.0146,0.0000,0.1882
4.939,0.2136,0.0137,0.0000,0.1738
4.989,0.2341,0.0133,0.0000,0.1684
5.041,0.2210,0.0129,0.0000,0.1645
5.089,0.2098,0.0121,0.0000,0.1487
5.141,0.2629,0.0118,0.0000,0.2075
5.191,0.2000,0.0111,0.0000,0.1164
5.241,0.1782,0.0107,0.0000,0.1948
5.291,0.1680,0.0104,0.0000,0.1777
5.343,0.1310,0.0098,0.0000,0.2269
5.393,0.1021,0.0095,0.0000,0.2268
5.443,0.0756,0.0092,0.0000,0.1740
5.493,0.0890,0.0087,0.0000,0.0852
5.543,0.0954,0.0084,0.0000,0.0202
5.593,0.0901,0.0082,0.0000,0.1074
5.644,0.0807,0.0077,0.0000,0.1814
5.694,0.1010,0.0075,0.0000,0.1434
5.744,0.1044,0.0072,0.0000,0.0862
5.794,0.0971,0.0068,0.0000,0.0056
5.845,0.0979,0.0066,0.0000,0.0501
5.896,0.2078,0.0062,0.0000,0.0327
5.946,0.1583,0.0060,0.0000,0.0154
5.996,0.1358,0.0058,0.0000,0.0000
6.046,0.2152,0.0055,0.0000,0.0525
6.096,0.2669,0.0053,0.0000,0.0552
6.146,0.2359,0.0052,0.0000,0.0000
6.197,0.1956,0.0049,0.0000,0.0685
6.248,0.2442,0.0047,0.0000,0.0569
6.298,0.1677,0.0044,0.0000,0.2261
6.348,0.1207,0.0043,0.0000,0.1955
6.399,0.0976,0.0042,0.0000,0.1472
6.449,0.1677,0.0039,0.0000,0.0266
6.499,0.1563,0.0038,0.0000,0.0000
6.549,0.1268,0.0037,0.0000,0.0992
6.599,0.0877,0.0035,0.0000,0.0243
6.649,0.0824,0.0034,0.0000,0.0000
6.699,0.0672,0.0033,0.0000,0.0000
6.749,0.0558,0.0031,0.0000,0.0000
6.800,0.3455,0.0030,0.0000,0.0046
6.854,0.2600,0.0028,0.0000,0.0518
6.904,0.2422,0.0027,0.0000,0.0571
6.954,0.2412,0.0026,0.0000,0.0400
7.004,0.2380,0.0025,0.0000,0.1208
7.054,0.2016,0.0024,0.0000,0.0675
7.105,0.1692,0.0023,0.0000,0.0928
7.156,0.1923,0.0022,0.0000,0.1363
7.206,0.1830,0.0021,0.0000,0.1664
7.256,0.1272,0.0021,0.0000,0.2528
7.306,0.0848,0.0020,0.0000,0.1781
7.356,0.1488,0.0019,0.0000,0.1553
7.408,0.1829,0.0018,0.0000,0.0270
7.458,0.1759,0.0017,0.0000,0.1726
7.508,0.1667,0.0017,0.0000,0.2436
7.558,0.2391,0.0016,0.0000,0.1792
7.608,0.2184,0.0015,0.0000,0.1273
7.658,0.1652,0.0015,0.0000,0.0497
7.708,0.1859,0.0014,0.0000,0.0724
7.758,0.2374,0.0014,0.0000,0.0816
7.808,0.1412,0.0013,0.0000,0.0546
7.858,0.1192,0.0012,0.0000,0.0018
7.908,0.1135,0.0012,0.0000,0.0000
7.959,0.1711,0.0011,0.0000,0.1539
8.009,0.1420,0.0011,0.0000,0.1384
8.060,0.0847,0.0010,0.0000,0.0613
8.110,0.1012,0.0010,0.0000,0.0000
8.160,0.0803,0.0010,0.0000,0.1224
8.210,0.0613,0.0009,0.0000,0.1605
8.260,0.0558,0.0009,0.0000,0.1002
8.311,0.2114,0.0008,0.0000,0.0008
8.362,0.2050,0.0008,0.0000,0.0000
8.412,0.2027,0.0008,0.0000,0.0709
8.463,0.2022,0.0007,0.0000,0.0469
8.513,0.1894,0.0007,0.0000,0.0250
8.563,0.1316,0.0007,0.0000,0.0000
8.613,0.1097,0.0007,0.0000,0.0878
8.663,0.5897,0.0047,0.1356,0.3925
8.714,0.3686,0.0483,0.8386,0.5982
8.764,0.3272,0.0752,0.9467,0.6440
8.814,0.2864,0.1029,0.9994,0.6945
8.864,0.3359,0.1560,1.0000,0.7919
8.914,0.2993,0.1813,1.0000,0.7981
8.966,0.2630,0.2297,1.0000,0.7782
9.016,0.2654,0.2528,1.0000,0.8230
9.066,0.2435,0.2752,1.0000,0.7939
9.116,0.1805,0.3180,1.0000,0.8840
9.166,0.1669,0.3385,1.0000,0.8980
9.216,0.1877,0.3583,1.0000,0.8881
9.266,0.1916,0.3963,1.0000,0.8545
9.316,0.1705,0.4144,1.0000,0.8303
9.367,0.1672,0.4490,1.0000,0.8556
9.418,0.1958,0.4655,1.0000,0.8540
9.468,0.2072,0.4815,1.0000,0.8558
9.518,0.2112,0.5122,1.0000,0.8138
9.568,0.2337,0.5268,1.0000,0.8433
9.619,0.3260,0.5410,1.0000,0.9004
9.669,0.3165,0.5681,1.0000,0.9050
9.720,0.2983,0.5811,1.0000,0.9157
9.770,0.2927,0.6059,1.0000,0.9354
9.821,0.2465,0.6177,1.0000,0.9351
9.871,0.2022,0.6292,1.0000,0.9206
9.921,0.1437,0.6511,1.0000,0.8712
9.972,0.1885,0.6615,1.0000,0.8854
10.026,0.2139,0.6815,1.0000,0.9126
10.077,0.1999,0.6911,1.0000,0.9383
10.127,0.2021,0.7004,1.0000,0.9298
10.178,0.2367,0.7181,1.0000,0.9277
10.228,0.2250,0.7265,1.0000,0.9203
10.278,0.2183,0.7347,1.0000,0.9182
10.328,0.2588,0.7504,1.0000,0.8573
10.379,0.2450,0.7579,1.0000,0.8129
10.431,0.2252,0.7652,1.0000,0.8507
10.479,0.2009,0.7790,1.0000,0.8073
10.529,0.4046,0.7857,1.0000,0.8756
10.579,0.3024,0.7983,1.0000,0.9108
10.630,0.2905,0.8044,1.0000,0.9035
10.680,0.2795,0.8103,1.0000,0.8981
10.730,0.2779,0.8215,1.0000,0.8820
10.780,0.1986,0.8268,1.0000,0.8729
10.833,0.1247,0.8371,1.0000,0.8097
10.883,0.1848,0.8419,1.0000,0.8471
10.933,0.2352,0.8467,1.0000,0.8606
10.983,0.2048,0.8557,1.0000,0.8906
11.033,0.1974,0.8601,1.0000,0.9073
11.083,0.2732,0.8643,1.0000,0.9037
11.133,0.2529,0.8723,1.0000,0.8812
11.183,0.2241,0.8761,1.0000,0.8623
11.233,0.2001,0.8798,1.0000,0.8671
11.284,0.2787,0.8869,1.0000,0.8688
11.336,0.2732,0.8903,1.0000,0.8563
11.386,0.2444,0.8968,1.0000,0.8197
11.436,0.2688,0.8999,1.0000,0.8278
11.486,0.2940,0.9029,1.0000,0.8884
11.536,0.2186,0.9087,1.0000,0.8922
11.586,0.2009,0.9114,1.0000,0.8842
11.637,0.2180,0.9141,1.0000,0.8620
11.688,0.1935,0.9191,1.0000,0.8380
11.738,0.1710,0.9216,1.0000,0.8294
11.789,0.1990,0.9262,1.0000,0.7850
11.840,0.2226,0.9284,1.0000,0.7918
11.890,0.2247,0.9306,1.0000,0.7894
11.940,0.2171,0.9347,1.0000,0.8718
11.990,0.2444,0.9366,1.0000,0.8770
12.040,0.3064,0.9385,1.0000,0.8667
12.090,0.2499,0.9422,1.0000,0.8638
12.141,0.2363,0.9439,1.0000,0.8562
12.191,0.2745,0.9456,1.0000,0.8351
12.242,0.2499,0.9488,1.0000,0.7773
12.292,0.2078,0.9503,1.0000,0.8043
12.342,0.1892,0.9518,1.0000,0.7817
12.392,0.1820,0.9547,1.0000,0.8424
12.443,0.1337,0.9560,1.0000,0.8656
12.494,0.0820,0.9586,1.0000,0.8676
12.545,0.1183,0.9599,1.0000,0.8724
12.595,0.2010,0.9611,1.0000,0.8887
12.645,0.2174,0.9634,1.0000,0.8767
12.695,0.2140,0.9645,1.0000,0.8400
12.745,0.2545,0.9655,1.0000,0.8311
12.795,0.2624,0.9676,1.0000,0.8320
12.845,0.2510,0.9685,1.0000,0.8432
12.896,0.2460,0.9695,1.0000,0.8901
12.946,0.3408,0.9713,1.0000,0.8746
12.997,0.2975,0.9722,1.0000,0.8685
13.047,0.2716,0.9730,1.0000,0.8389
13.098,0.3161,0.9746,1.0000,0.8306
13.148,0.3239,0.9753,1.0000,0.8271
13.200,0.2268,0.9768,1.0000,0.8174
13.251,0.2084,0.9775,1.0000,0.7970
13.301,0.2004,0.9782,1.0000,0.7448
13.352,0.1149,0.9795,1.0000,0.8485
13.403,0.0884,0.9801,1.0000,0.8504
13.453,0.0733,0.9807,1.0000,0.8466
13.503,0.1983,0.9818,1.0000,0.8746
13.553,0.2312,0.9824,1.0000,0.8822
13.603,0.2401,0.9829,1.0000,0.8753
13.654,0.2502,0.9839,1.0000,0.8192
13.704,0.2537,0.9844,1.0000,0.8446
13.758,0.2081,0.9849,1.0000,0.8423
13.804,0.1458,0.9858,1.0000,0.8827
13.854,0.2092,0.9862,1.0000,0.8902
13.904,0.2461,0.9866,1.0000,0.8737
13.955,0.2506,0.9874,1.0000,0.8675
14.005,0.2433,0.9878,1.0000,0.8592
14.059,0.3519,0.9885,1.0000,0.8065
14.109,0.3095,0.9888,1.0000,0.7404
14.159,0.2719,0.9892,1.0000,0.7771
14.209,0.2071,0.9898,1.0000,0.7415
14.259,0.1748,0.9901,1.0000,0.7997
14.309,0.1367,0.9904,1.0000,0.8429
14.359,0.0837,0.9910,1.0000,0.8413
14.409,0.1736,0.9912,1.0000,0.8528
14.460,0.2350,0.9915,1.0000,0.8572
14.510,0.2484,0.9920,1.0000,0.8535
14.560,0.2455,0.9923,1.0000,0.8285
14.610,0.2638,0.9925,1.0000,0.7949
14.660,0.1950,0.9929,1.0000,0.8292
14.711,0.1281,0.9931,1.0000,0.7957
14.765,0.0731,0.9933,1.0000,0.8526
14.812,0.2676,0.9937,1.0000,0.8599
14.862,0.3153,0.9939,1.0000,0.8466
14.915,0.2780,0.9943,1.0000,0.7914
14.966,0.3916,0.9945,1.0000,0.8007
15.016,0.3502,0.9946,1.0000,0.8001
15.066,0.2573,0.9949,1.0000,0.7820
15.117,0.2367,0.9951,1.0000,0.7685
15.170,0.2170,0.9952,1.0000,0.7357
15.218,0.1247,0.9955,1.0000,0.8214
15.269,0.0948,0.9957,1.0000,0.8346
15.320,0.0858,0.9959,1.0000,0.8256
15.370,0.1192,0.9960,1.0000,0.8194
15.420,0.1324,0.9962,1.0000,0.8239
15.470,0.1341,0.9964,1.0000,0.8093
15.520,0.1554,0.9965,1.0000,0.7379
15.570,0.1591,0.9966,1.0000,0.7768
15.620,0.0956,0.9968,1.0000,0.7944
15.670,0.0690,0.9969,1.0000,0.8314
15.720,0.1089,0.9970,1.0000,0.8543
15.770,0.2597,0.9972,1.0000,0.8389
15.820,0.2617,0.9972,1.0000,0.8452
15.871,0.2690,0.9974,1.0000,0.8458
15.922,0.3178,0.9975,1.0000,0.8365
15.973,0.2603,0.9976,1.0000,0.7361
16.023,0.2167,0.9977,1.0000,0.7641
16.072,0.2197,0.9978,1.0000,0.7903
16.123,0.2677,0.9979,1.0000,0.7760
16.173,0.2301,0.9980,1.0000,0.8260
16.224,0.2033,0.9981,1.0000,0.8292
